SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
Amount  USD; 1.645.711,28 ;;0,38%;;;;Prior; 1.645.711,28 ; 8.851.622,69 ; 10.000.000,02 ;-1.148.377,33 ;;;;;;;;;;;;;;;;;
Exchange rate;6,0764;;Commission+Spread p.y.;;;;Interest; 28.263,86 ; 152.020,02 ; 28.459,11 ; 123.560,90 ;;;;;;;;;;;;;;;;;
Amount BRL; 10.000.000,02 ;;7,098%;;;;; 1.673.975,14 ; 9.003.642,71 ; 10.028.459,13 ;;;;;;;;;;;;;;;;;;
IOF BRL; 38.000,00 ;;data fechamento;;;;;;;;;;;;;;;;;;;;;;;;;
Period months; 12 ;;31/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;
 Short Term ; 2.025.234 ;;Tx fechamento;;;;;;; 13.589,17 ;;;;;;;;;;;;;;;;;;
 Long Term ; -   ;;5,3786;;;;;;;;;;;;;;;;;;;;;;;;;
Total; 2.025.234 ;;;;;;;;; 42.048,28 ;;;;;;;;;;;;;;;;;;
INI;07/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIM;27/12/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;INTEREST RATE;BACEN TAX;PRIOR BALANCE;INTEREST USD DAY;INTEREST USD;INTEREST USD acum;INTEREST BRL (BACEN);INTEREST BRL (BACEN) acum;INTEREST BRL (group) acum;VC;IOF;IR;PAYMENT OF INTERESTS USD;PAYMENT OF PRINCIPAL USD;PAYMENT OF INTERESTS BRL;PAYMENT OF PRINCIPAL BRL;;;;;;;;;;;;
07/01/25 ter;0,00%; 6,07 ;1.645.711,28 ; 313,49 ; 313,49 ; 1.646.024,77 ; 1.904,17 ; 10.001.904,19 ; 9.621.837,79 ;-380.066,40 ; 7,24 ; 634,72 ; -   ; -   ; -   ; -   ;;;;;;;;;;;;
08/01/25 qua;0,00%; 6,13 ;1.646.024,77 ; 313,55 ; 627,04 ; 1.646.338,32 ; 3.826,88 ; 10.003.826,90 ; 9.623.670,64 ;-380.156,26 ; 14,54 ; 1.275,63 ; -   ; -   ;;;;;;;;;;;;;;
09/01/25 qui;0,00%; 6,09 ;1.646.338,32 ; 313,61 ; 940,65 ; 1.646.651,93 ; 5.736,64 ; 10.005.736,66 ; 9.625.503,85 ;-380.232,81 ; 21,80 ; 1.912,21 ; -   ; -   ;;;;;;;;;;;;;;
10/01/25 sex;0,00%; 6,10 ;1.646.651,93 ; 313,67 ; 1.254,32 ; 1.646.965,60 ; 7.648,92 ; 10.007.648,94 ; 9.627.337,40 ;-380.311,54 ; 29,07 ; 2.549,64 ; -   ; -   ;;;;;;;;;;;;;;
11/01/25 sáb;0,00%; 6,10 ;1.646.965,60 ; 313,73 ; 1.568,05 ; 1.647.279,33 ; 9.561,56 ; 10.009.561,59 ; 9.629.171,30 ;-380.390,29 ; 36,33 ; 3.187,19 ; -   ; -   ;;;;;;;;;;;;;;
