ACCRUAL Consolidado (BRL + FX);;;;;;;;;;;;;;;;;;;;;;;;;
Contrato: LOAN-1762377607291-5zWy-N;Período: 2025-01-07 → 2026-07-09;Moeda: USD;FX Contrato: 6.076400;Status: ATIVO;Apuração: 2025-01-07 → 2026-07-09;Base Juros: 30/360 · Capitalização Composta;Normas IFRS/CPC: CPC 02 · CPC 08 · CPC 48 · IAS 21 · IFRS 9;Diretriz: USD Loan → BRL (Accrual IFRS / CPC 02);Layout: Layout Padrão (default-v2);;;;;;;;;;;;;;;;
Período;;;Moeda Origem;;;;BRL (Contrato);;;;;BRL (PTAX);;;;;;Variação Cambial;;;;;;;
Data;Dias;Taxa Efetiva;Saldo Inicial;Juros;Juros Acumulados;Saldo Final;Saldo Inicial;Juros;Juros Acumulados;Saldo Final;FX Contrato;Saldo Inicial;Juros;Juros Acumulados;Saldo Final;FX PTAX;Fonte PTAX;Δ Principal (BRL);Δ Juros (BRL);Δ Saldo (BRL);Variação (%);;;;
2025-01-08;1;0,00019049;1645711,28;313,4896;313,4896;1646024,77;10000000,02;1904,89;1904,89;10001904,91;6,0764;10091666,14;1922,35;1922,35;10093588,49;6,1321;PTAX (BCB);91666,12;17,46;91683,58;0,9167;;;;
2025-01-09;1;0,00019049;1646024,77;313,5493;627,0389;1646338,319;10001904,91;1905,25;3810,14;10003810,16;6,0764;10093588,49;1922,72;3845,07;10095511,21;6,1321;PTAX (BCB);91683,58;17,47;91701,05;0,9167;;;;
2025-01-10;1;0,00019049;1646338,319;313,6091;940,648;1646651,928;10003810,16;1905,61;5715,75;10005715,78;6,0764;10095511,21;1923,08;5768,15;10097434,29;6,1321;PTAX (BCB);91701,05;17,47;91718,51;0,9167;;;;
2025-01-11;1;0,00019049;1646651,928;313,6688;1254,3168;1646965,597;10005715,78;1905,98;7621,73;10007621,75;6,0764;10097434,29;1923,45;7691,6;10099357,74;6,1321;PTAX (BCB);91718,51;17,47;91735,99;0,9167;;;;
2025-01-12;1;0,00019049;1646965,597;313,7286;1568,0454;1647279,325;10007621,75;1906,34;9528,07;10009528,09;6,0764;10099357,74;1923,82;9615,42;10101281,55;6,1321;PTAX (BCB);91735,99;17,48;91753,46;0,9167;;;;
2025-01-13;1;0,00019049;1647279,325;313,7883;1881,8337;1647593,114;10009528,09;1906,7;11434,77;10011434,8;6,0764;10101281,55;1924,18;11539,6;10103205,73;6,1321;PTAX (BCB);91753,46;17,48;91770,93;0,9167;;;;
2025-01-14;1;0,00019049;1647593,114;313,8481;2195,6818;1647906,962;10011434,8;1907,07;13341,84;10013341,86;6,0764;10103205,73;1924,55;13464,15;10105130,28;6,1321;PTAX (BCB);91770,93;17,48;91788,42;0,9167;;;;
2025-01-15;1;0,00019049;1647906,962;313,9079;2509,5897;1648220,87;10013341,86;1907,43;15249,27;10015249,29;6,0764;10105130,28;1924,91;15389,06;10107055,2;6,1321;PTAX (BCB);91788,42;17,48;91805,91;0,9167;;;;
